CountryID;Country Name;WEBNAME;Region;World Rank;Region Rank;2020 Score;Property Rights;Judical Effectiveness;Government Integrity;Tax Burden;Gov't Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom ;Financial Freedom;Tariff Rate (%);Income Tax Rate (%);Corporate Tax Rate (%);Tax Burden % of GDP;Gov't Expenditure % of .GDP ;Country;Population (Millions);GDP (Billions. PPP);GDP Growth Rate (%);5 Year GDP Growth Rate (%);GDP per Capita (PPP);Unemployment (%);Inflation (%);FDI Inflow (Millions);Public Debt (% of GDP)
50;Egypt;Egypt;Middle East and North Africa;142;11;54.0;48.5;51.2;34.0;86.1;69.9;2.8;62.0;51.5;61.3;70.2;60;50;7.4;25.0;23.0;15.2;31.7;Egypt;97.0;$1.296.3 ;5.3;4.2;$13.366;11.4;20.9;6.797.6;92.6
51;El Salvador;ElSalvador;Americas;90;16;61.6;41.6;30.1;31.6;77.8;82.8;80.0;53.6;52.3;78.6;80.8;70;60;2.1;30.0;30.0;20.4;23.9;El Salvador;6.6;$53.4 ;2.5;2.3;$8.041;4.4;1.1;839.6;67.1
52;Equatorial Guinea;EquatorialGuinea;Sub-Saharan Africa;167;42;48.3;38.1;19.5;15.1;75.1;86.4;77.2;37.5;34.2;78.1;48.8;40;30;15.6;35.0;35.0;5.9;21.3;Equatorial Guinea;1.3;$29.8 ;-5.7;-5.6;$22.710;9.2;1.3;395.9;35.9
53;Eritrea;Eritrea;Sub-Saharan Africa;177;47;38.5;32.5;14.3;21.4;81.4;74.7;0.0;18.2;69.7;61.0;69.2;0;20;5.4;30.0;30.0;8.0;29.1;Eritrea;6.0;$10.0 ;4.2;3.3;$1.657;6.5;9.0;61.0;129.4
54;Estonia;Estonia;Europe;10;5;77.7;83.2;73.7;85.9;81.1;53.3;99.9;73.5;57.3;78.6;86.4;90;70;1.8;20.0;20.0;33.0;39.4;Estonia;1.3;$45.0 ;3.9;3.4;$34.096;5.5;3.4;1.309.4;8.1
156;Eswatini;Eswatini;Sub-Saharan Africa;131;22;55.3;49.8;42.4;37.2;72.8;62.8;17.6;58.9;67.9;75.2;88.6;50;40;0.7;33.0;28.0;29.1;35.2;Eswatini;1.1;$12.1 ;0.2;1.5;$11.020;22.5;4.8;25.4;34.9
55;Ethiopia;Ethiopia;Sub-Saharan Africa;146;30;53.6;36.5;45.1;29.4;77.4;90.8;79.2;48.6;57.6;62.7;60.8;35;20;12.1;35.0;30.0;11.6;17.5;Ethiopia;94.1;$219.5 ;7.7;9.3;$2.332;1.8;13.8;3.310.3;61.1
56;Fiji;Fiji;Asia-Pacific;77;15;63.4;69.9;42.6;45.6;80.5;68.9;84.2;62.6;76.2;72.5;52.8;55;50;16.1;29.0;20.0;26.6;32.2;Fiji;0.9;$9.1 ;3.2;3.3;$10.234;4.2;4.1;344.1;49.7
57;Finland;Finland;Europe;20;11;75.7;92.3;80.5;96.1;67.5;11.2;90.7;84.8;50.3;83.6;86.4;85;80;1.8;31.3;20.0;43.3;54.4;Finland;5.5;$256.5 ;2.4;1.4;$46.430;7.8;1.2;1.225.2;60.5
58;France;France;Europe;64;34;66.0;85.9;71.2;83.3;48.8;4.5;67.1;82.5;46.1;76.7;81.4;75;70;1.8;45.0;31.0;46.2;56.4;France;64.7;$2.962.8 ;1.5;1.4;$45.775;9.2;2.1;37.293.8;98.6
59;Gabon;Gabon;Sub-Saharan Africa;118;16;56.7;36.9;20.8;36.7;74.3;89.3;88.9;52.1;52.3;77.3;51.2;60;40;16.9;35.0;30.0;21.1;18.9;Gabon;2.1;$38.0 ;1.2;2.4;$18.496;19.5;4.8;845.8;58.2
60;Gambia;Gambia;Sub-Saharan Africa;123;18;56.3;43.9;43.4;39.2;74.6;85.6;25.3;53.5;67.4;63.3;64.6;65;50;12.7;35.0;32.0;17.2;21.9;Gambia;2.2;$6.1 ;6.6;3.3;$2.792;8.9;6.5;29.1;83.2
61;Georgia;Georgia;Europe;12;6;77.1;68.6;57.9;64.8;87.1;73.6;94.4;85.3;76.3;78.3;88.6;80;70;0.7;20.0;15.0;25.7;29.6;Georgia;3.7;$42.6 ;4.7;4.0;$11.485;14.1;2.6;1.232.4;44.5
62;Germany;Germany;Europe;27;14;73.5;80.5;74.3;82.8;60.9;42.2;92.9;82.8;53.0;76.7;86.4;80;70;1.8;47.5;15.8;37.5;43.9;Germany;82.9;$4.356.4 ;1.5;1.9;$52.559;3.4;1.9;25.706.2;59.8
63;Ghana;Ghana;Sub-Saharan Africa;104;11;59.4;52.5;46.1;32.2;78.4;88.1;35.6;58.4;59.3;68.9;63.8;70;60;10.6;35.0;25.0;17.6;20.0;Ghana;29.6;$190.7 ;5.6;4.5;$6.452;6.7;9.8;2.989.0;59.6
64;Greece;Greece;Europe;100;44;59.9;57.0;48.6;51.2;59.0;31.5;80.0;73.7;52.0;79.4;81.4;55;50;1.8;42.0;28.0;39.4;47.8;Greece;10.7;$312.7 ;2.1;0.7;$29.123;19.2;0.8;4.256.7;183.3
65;Guatemala;Guatemala;Americas;73;14;64.0;45.5;32.2;29.6;79.2;95.6;95.7;62.6;48.4;77.4;82.2;70;50;1.4;31.0;31.0;12.4;12.1;Guatemala;17.3;$145.6 ;3.1;3.5;$8.436;2.7;3.8;1.056.0;24.5
66;Guinea;Guinea;Sub-Saharan Africa;121;17;56.5;38.7;33.3;16.1;70.0;91.4;93.8;55.4;58.0;70.6;60.4;50;40;12.3;40.0;35.0;13.3;16.9;Guinea;13.3;$30.7 ;5.8;6.7;$2.310;3.6;9.7;482.7;38.7
67;Guinea-Bissau;GuineaBissau;Sub-Saharan Africa;148;32;53.3;41.3;48.4;14.8;88.7;86.7;67.3;39.1;61.2;82.7;49.0;30;30;15.5;20.0;25.0;10.3;21.1;Guinea-Bissau;1.7;$3.4 ;3.8;4.6;$1.937;4.1;1.4;17.3;56.1
68;Guyana;Guyana;Americas;124;24;56.2;53.6;42.6;34.1;66.0;64.4;58.6;58.9;62.1;82.5;66.8;55;30;6.6;33.3;40.0;26.2;34.5;Guyana;0.8;$6.7 ;3.4;3.2;$8.519;12.2;1.3;494.8;57.0
69;Haiti;Haiti;Americas;153;27;52.3;16.4;23.3;22.3;80.2;89.4;96.3;33.6;62.3;61.5;67.0;45;30;6.5;30.0;30.0;13.3;18.8;Haiti;11.1;$20.7 ;1.5;1.6;$1.864;13.5;13.5;105.0;33.0
70;Honduras;Honduras;Americas;93;18;61.1;48.6;34.2;28.6;82.3;78.2;96.7;56.7;31.5;72.2;79.4;65;60;2.8;25.0;25.0;22.8;26.9;Honduras;9.4;$49.2 ;3.7;3.9;$5.212;4.1;4.3;1.225.8;40.3
71;Hong Kong;HongKong;Asia-Pacific;2;2;89.1;93.6;76.8;84.7;93.0;90.3;99.9;96.2;89.1;80.7;95.0;80;90;0.0;15.0;16.5;14.1;18.0;Hong Kong SAR;7.5;$480.5 ;3.0;2.8;$64.216;2.8;2.4;115.661.9;0.1
72;Hungary;Hungary;Europe;62;33;66.4;64.8;45.7;47.5;79.9;34.5;83.6;60.2;64.6;79.9;86.4;80;70;1.8;15.0;19.0;37.7;46.7;Hungary;9.8;$311.9 ;4.9;3.8;$31.903;3.7;2.8;6.389.3;69.4
73;Iceland;Iceland;Europe;13;7;77.1;87.6;63.2;90.3;71.7;44.1;97.5;84.7;63.5;80.3;86.8;85;70;1.6;31.8;20.0;37.7;43.2;Iceland;0.3;$19.5 ;4.6;4.5;$55.917;2.9;2.7;-335.8;35.4
74;India;India;Asia-Pacific;120;28;56.5;63.0;64.1;47.2;79.4;77.9;13.1;65.6;41.2;73.0;73.4;40;40;5.8;30.9;32.4;7.3;27.1;India;1334.2;$10.505.3 ;7.1;7.6;$7.874;2.6;3.5;42.285.7;69.8
75;Indonesia;Indonesia;Asia-Pacific;54;12;67.2;59.8;56.2;37.2;83.4;91.7;90.2;70.0;49.2;78.4;80.8;50;60;2.1;30.0;25.0;11.5;16.7;Indonesia;264.2;$3.494.7 ;5.2;5.0;$13.230;4.3;3.2;21.979.8;29.2
76;Iran;Iran;Middle East and North Africa;164;13;49.2;36.9;37.1;33.5;81.0;89.2;86.5;57.3;50.7;49.0;54.6;5;10;15.2;35.0;25.0;7.3;19.0;Iran;82.4;$1.610.7 ;-3.9;2.8;$19.557;12.0;31.2;3.480.3;33.2
77;Iraq;Iraq;Middle East and North Africa;N/A;N/A;N/A;43.9;11.2;20.8;N/A;59.5;76.6;52.6;44.8;76.4;N/A;N/A;N/A;N/A;15.0;15.0;2.0;36.7;Iraq;38.1;$673.3 ;0.6;3.1;$17.659;7.9;0.4;-4.885.1;48.4
78;Ireland;Ireland;Europe;6;2;80.9;86.6;64.4;82.8;76.4;78.8;91.4;82.7;75.9;85.3;86.4;90;70;1.8;41.0;12.5;22.8;26.6;Ireland;4.9;$385.9 ;6.8;10.5;$78.785;5.7;0.7;-66.346.4;65.2
79;Israel;Israel;Middle East and North Africa;26;2;74.0;82.3;71.8;77.2;61.0;53.5;89.2;72.2;64.4;84.9;86.2;75;70;1.9;48.0;23.0;32.7;39.4;Israel;8.9;$337.2 ;3.3;3.4;$37.972;4.0;0.8;21.803.0;59.6
80;Italy;Italy;Europe;74;37;63.8;75.4;51.3;62.2;56.0;28.5;71.1;70.4;50.9;83.2;86.4;80;50;1.8;43.0;27.5;42.4;48.8;Italy;60.5;$2.397.4 ;0.9;0.9;$39.637;10.2;1.2;24.275.9;132.1
81;Jamaica;Jamaica;Americas;49;6;68.5;62.1;50.5;46.8;80.0;74.8;80.2;77.7;74.0;77.7;68.4;80;50;10.8;25.0;25.0;27.3;29.0;Jamaica;2.9;$27.0 ;1.4;1.0;$9.447;9.5;3.7;774.7;99.4
82;Japan;Japan;Asia-Pacific;30;8;73.3;86.6;71.4;80.5;68.3;55.8;62.0;81.4;78.7;84.4;80.0;70;60;2.5;40.8;23.9;30.6;38.4;Japan;126.5;$5.594.5 ;0.8;1.0;$44.227;2.5;1.0;9.857.6;237.1
83;Jordan;Jordan;Middle East and North Africa;66;5;66.0;64.8;54.6;49.6;91.8;73.5;55.9;60.1;52.5;77.6;81.2;70;60;4.4;14.0;20.0;15.0;29.7;Jordan;9.9;$93.4 ;2.0;2.3;$9.433;15.0;4.5;949.9;94.2
84;Kazakhstan;Kazakhstan;Asia-Pacific;39;10;69.6;61.3;62.1;40.9;92.3;85.5;84.1;74.6;86.0;68.1;80.2;50;50;2.4;10.0;20.0;16.4;22.0;Kazakhstan;18.5;$508.6 ;4.1;2.9;$27.550;4.9;6.0;3.816.6;21.9
85;Kenya;Kenya;Sub-Saharan Africa;132;23;55.3;63.2;48.6;28.2;78.7;79.6;13.5;55.0;55.8;75.0;60.4;55;50;12.3;30.0;30.0;18.1;26.1;Kenya;48.0;$177.3 ;6.0;5.6;$3.691;9.3;4.7;1.625.9;57.2
86;Kiribati;Kiribati;Asia-Pacific;172;41;45.2;47.5;34.2;24.3;72.4;0.0;99.0;40.6;62.9;82.2;23.8;25;30;28.1;35.0;35.0;17.5;125.7;Kiribati;0.1;$0.2 ;2.3;3.5;$2.086;30.6;1.9;0.6;21.9
87;Korea. North ;NorthKorea;Asia-Pacific;180;42;4.2;20.1;5.0;15.1;0.0;0.0;0.0;5.0;5.0;0.0;0.0;0;0;N/A;N/A;N/A;N/A;N/A;Korea. North ;25.6;$40.00 ;-4.1;-0.8;$1.700;3.3;N/A;52.0;N/A
88;Korea. South;SouthKorea;Asia-Pacific;25;7;74.0;82.5;61.0;67.5;63.9;67.7;96.7;90.5;56.2;82.1;80.0;70;70;5.0;42.0;25.0;26.9;32.8;Korea. South;51.7;$2.136.3 ;2.7;3.0;$41.351;3.8;1.5;14.479.3;40.7
185;Kosovo;Kosovo;Europe;53;28;67.4;66.3;54.1;39.2;92.6;76.5;94.0;75.0;61.0;78.4;76.2;65;30;4.4;10.0;10.0;23.3;28.0;Kosovo;1.8;$20.9 ;4.0;3.5;$11.552;30.5;1.1;3590;17.0
89;Kuwait;Kuwait;Middle East and North Africa;79;8;63.2;57.1;47.0;46.0;97.7;22.4;99.6;61.3;62.2;73.2;76.4;55;60;4.3;0.0;15.0;1.4;50.9;Kuwait;4.6;$306.4 ;1.7;0.5;$67.000;2.1;0.7;345.5;14.8
90;Kyrgyz Republic;KyrgyzRepublic;Asia-Pacific;81;16;62.9;53.6;31.3;32.0;94.1;58.5;66.7;73.6;79.6;76.4;79.2;60;50;2.9;10.0;10.0;19.8;37.2;Kyrgyz Republic;6.4;$24.5 ;3.5;4.1;$3.844;7.2;1.5;47.0;56.0
91;Laos;Laos;Asia-Pacific;129;31;55.5;42.5;37.3;32.0;87.0;86.6;53.3;54.3;58.6;76.8;82.0;35;20;1.5;24.0;24.0;12.0;21.1;Lao P.D.R.;6.8;$53.7 ;6.5;7.0;$7.925;0.6;2.0;1.319.6;63.0
92;Latvia;Latvia;Europe;32;17;71.9;72.3;51.1;46.4;76.9;58.3;96.5;77.0;72.4;80.2;86.4;85;60;1.8;31.4;20.0;30.4;37.3;Latvia;1.9;$57.8 ;4.8;3.3;$29.901;7.9;2.6;879.4;37.6
93;Lebanon;Lebanon;Middle East and North Africa;157;12;51.7;44.6;30.8;25.0;90.8;72.5;0.0;45.6;47.8;75.6;77.4;60;50;3.8;20.0;17.0;15.3;30.3;Lebanon;6.1;$89.5 ;0.3;0.9;$14.684;6.2;6.1;2.879.8;150.9
94;Lesotho;Lesotho;Sub-Saharan Africa;138;26;54.5;45.2;47.0;29.6;73.0;34.4;60.3;52.8;58.8;75.7;82.2;55;40;1.4;35.0;25.0;29.1;46.8;Lesotho;2.0;$6.9 ;1.5;1.7;$3.394;23.6;5.2;39.3;39.0
95;Liberia;Liberia;Sub-Saharan Africa;165;40;49.0;31.1;37.9;23.8;86.1;65.5;59.7;48.2;38.2;62.1;60.6;55;20;12.2;25.0;25.0;11.9;33.9;Liberia;4.5;$6.3 ;1.2;0.6;$1.418;2.0;23.4;122.2;40.5
96;Libya;Libya;Middle East and North Africa;N/A;N/A;N/A;30.1;20.8;18.9;N/A;0;N/A;40.7;53.9;53.6;N/A;5;N/A;N/A;10.0;N/A;N/A;105.8;Libya;6.5;$74.7 ;17.9;1.7;$11.469;17.3;23.1;N/A;4.9
97;Liechtenstein;Liechtenstein;Europe;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;85;80;N/A;8.0;12.5;N/A;N/A;Liechtenstein;0.038;N/A;N/A;N/A;N/A;1.8;0.5;N/A;N/A
98;Lithuania;Lithuania;Europe;16;9;76.7;77.9;62.1;67.4;84.9;66;97.4;71.9;76.5;79.7;86.4;80;70;1.8;20.0;15.0;29.8;33.7;Lithuania;2.8;$97.0 ;3.4;3.1;$34.826;6.0;2.5;905.1;35.9
99;Luxembourg;Luxembourg;Europe;19;10;75.8;86.4;74.4;90.3;64.1;45.4;99.0;66.8;45.3;76.4;86.4;95;80;1.8;42.0;18.0;38.7;42.7;Luxembourg;0.6;$64.2 ;3.0;3.0;$106.705;5.5;2.0;-5.615.0;21.8
100;Macau;Macau;Asia-Pacific;35;9;70.3;60.0;60.0;33.5;75.0;89.8;99.9;60.0;50.0;70.0;90.0;85;70;0.0;12.0;39.0;28.9;18.5;Macau;0.7;$77.3 ;4.7;-1.8;$116.808;2.0;3.0;1.113.4;0.0
101;North Macedonia;Macedonia;Europe;41;23;69.5;62.5;42.7;42.2;91.5;71.0;87.7;80.6;67.0;77.7;86.2;65;60;1.9;10.0;10.0;25.5;31.1;Macedonia;2.1;$32.6 ;2.7;2.6;$15.709;21.6;1.5;737.1;39.5
102;Madagascar;Madagascar;Sub-Saharan Africa;99;8;60.5;45.6;39.6;25.0;90.7;91.5;90.6;47.3;44.6;72.7;73.6;55;50;5.7;20.0;20.0;11.5;16.8;Madagascar;26.3;$42.9 ;5.2;4.0;$1.630;1.7;7.3;349.1;39.7
103;Malawi;Malawi;Sub-Saharan Africa;152;34;52.8;43.1;42.1;24.8;79.0;71.7;23.6;41.9;62.8;69.1;75.4;50;50;4.8;30.0;30.0;17.3;30.7;Malawi;19.7;$23.7 ;3.2;3.6;$1.199;5.4;9.2;101.6;61.3
104;Malaysia;Malaysia;Asia-Pacific;24;6;74.7;86.5;74.6;49.4;85.7;84.6;80.2;87.8;74.5;81.6;82.0;60;50;4.0;25.0;25.0;13.6;22.6;Malaysia;32.4;$999.4 ;4.7;5.2;$30.860;3.4;1.0;8.091.0;56.2
105;Maldives;Maldives;Asia-Pacific;119;27;56.5;48.5;31.7;39.2;95.8;67.9;42.9;78.7;70.6;77.0;61.0;35;30;12.0;0.0;0.0;20.5;32.7;Maldives;0.4;$8.0 ;7.0;6.3;$21.760;6.1;1.5;551.8;61.5
106;Mali;Mali;Sub-Saharan Africa;126;20;55.9;36.1;32.7;20.7;69.2;85.8;73.6;49.2;52.2;81.6;65.0;65;40;10.0;40.0;35.0;16.1;21.8;Mali;18.5;$44.2 ;4.9;5.9;$2.384;9.6;1.7;365.9;36.6
107;Malta;Malta;Europe;42;22;69.5;70.5;49.6;55.1;64.8;60.0;95.9;68.0;61.1;77.1;86.4;85;60;1.8;35.0;35.0;32.7;36.5;Malta;0.5;$21.3 ;6.4;7.6;$45.606;4.6;1.7;4.061.2;45.4
108;Mauritania;Mauritania;Sub-Saharan Africa;130;21;55.3;32.5;20.8;21.9;80.9;76.4;85.9;61.7;51.3;79.6;62.6;50;40;8.7;30.0;25.0;19.7;28.0;Mauritania;4.5;$18.1 ;3.0;2.8;$3.990;10.3;3.1;70.8;83.9
109;Mauritius;Mauritius;Sub-Saharan Africa;21;1;74.9;75.8;62.6;53.3;91.5;82.1;79.3;82.5;60.2;73.8;88.2;80;70;0.9;15.0;15.0;20.0;24.4;Mauritius;1.3;$30.0 ;3.8;3.7;$23.699;6.9;3.2;371.5;65.2
110;Mexico;Mexico;Americas;67;11;66.0;58.3;34.7;36.7;76.1;79.3;87.5;67.0;58.4;70.9;87.6;75;60;1.2;35.0;30.0;16.2;26.3;Mexico;124.7;$2.569.8 ;2.0;2.6;$20.602;3.3;4.9;31.604.3;53.6
111;Micronesia;Micronesia;Asia-Pacific;156;38;52.0;30.1;26.5;22.3;92.9;0.0;99.2;56.9;78.2;82.2;70.8;35;30;7.1;10.0;21.0;13.0;63.2;Micronesia;0.1;$0.4 ;2.1;1.6;$3.482;16.2;2.0;20.2;20.2
112;Moldova;Moldova;Europe;87;40;62.0;60.5;31.7;37.2;86.1;71.6;96.2;68.1;37.0;72.0;78.0;55;50;3.5;12.0;12.0;33.2;30.8;Moldova;3.5;$25.9 ;4.0;3.6;$7.305;3.4;3.1;227.7;27.1
113;Mongolia;Mongolia;Asia-Pacific;127;30;55.9;50.3;23.0;36.9;87.4;66.6;9.3;63.6;75.7;74.2;74.0;50;60;5.5;10.0;25.0;23.2;33.4;Mongolia;3.2;$43.5 ;6.9;4.7;$13.447;6.3;7.7;2.173.7;73.3
114;Montenegro;Montenegro;Europe;91;42;61.5;59.1;55.3;47.5;85.4;32.1;23.4;70.8;74.8;80.3;83.8;75;50;3.1;9.0;9.0;36.0;47.6;Montenegro;0.6;$11.9 ;4.5;3.5;$19.043;15.5;2.6;489.6;72.1
115;Morocco;Morocco;Middle East and North Africa;78;7;63.3;66.3;48.0;39.2;71.8;72.8;67.2;70.4;33.0;77.0;78.6;65;70;3.2;38.0;30.0;21.8;30.1;Morocco;35.2;$314.6 ;3.1;3.1;$8.933;9.0;1.9;3.640.4;65.2
116;Mozambique;Mozambique;Sub-Saharan Africa;160;37;50.5;34.9;31.7;23.2;74.1;69.6;40.3;55.3;41.7;72.0;78.0;35;50;3.5;32.0;32.0;23.2;31.8;Mozambique;30.3;$39.2 ;3.3;5.0;$1.291;3.2;3.9;2.711.1;100.4
117;Namibia;Namibia;Sub-Saharan Africa;96;7;60.9;58.9;58.5;46.0;65.7;58.1;28.7;65.6;84.9;75.9;83.2;65;40;0.9;37.0;34.0;30.1;37.4;Namibia;2.4;$27.1 ;-0.1;2.4;$11.229;23.1;4.3;195.8;47.1
118;Nepal;Nepal;Asia-Pacific;139;34;54.2;40.7;32.0;31.5;83.4;77.9;98.1;61.6;53.7;71.2;60.4;10;30;12.3;25.0;25.0;20.3;27.2;Nepal;29.6;$86.1 ;6.3;4.8;$2.905;1.3;4.2;160.8;30.4
119;Netherlands;Netherlands;Europe;14;8;77.0;90.0;73.9;90.1;51.7;45.2;94.1;80.4;60.2;82.5;86.4;90;80;1.8;52.0;25.0;38.8;42.7;Netherlands;17.2;$969.2 ;2.5;2.2;$56.383;3.9;1.6;69.658.5;54.4
120;New Zealand;NewZealand;Asia-Pacific;3;3;84.1;93.3;79.1;93.9;71.0;57.8;98.3;90.4;86.7;87.0;92.2;80;80;1.4;33.0;28.0;32.0;37.5;New Zealand;4.9;$197.8 ;3.0;3.4;$40.135;4.5;1.6;1.403.7;29.4
121;Nicaragua;Nicaragua;Americas;115;23;57.2;33.5;19.5;24.3;76.3;77.5;87.2;55.1;55.5;71.5;75.4;60;50;2.3;30.0;30.0;23.8;27.4;Nicaragua;6.3;$35.7 ;-4.0;3.0;$5.683;4.5;5.0;359.2;37.2
122;Niger;Niger;Sub-Saharan Africa;137;25;54.7;45.6;42.6;33.4;76.7;79.0;44.7;55.4;47.9;74.8;61.2;55;40;11.9;35.0;30.0;14.4;26.5;Niger;19.3;$23.5 ;5.2;5.4;$1.217;0.3;3.0;460.1;55.1
123;Nigeria;Nigeria;Sub-Saharan Africa;116;14;57.2;38.1;32.2;22.3;85.1;96.2;64.1;54.7;84.0;61.7;62.4;45;40;11.3;24.0;30.0;3.6;11.2;Nigeria;193.9;$1.168.5 ;1.9;2.0;$6.027;6.0;12.1;1.997.5;28.4
124;Norway;Norway;Europe;28;15;73.4;84.3;82.8;95.6;57.7;25.6;97.3;86.1;57.4;74.8;83.8;75;60;3.1;47.8;22.0;38.2;49.8;Norway;5.3;$395.9 ;1.4;1.7;$74.356;3.9;2.8;-18.214.7;36.8
125;Oman;Oman;Middle East and North Africa;75;6;63.6;66.4;66.2;64.6;98.4;36.2;14.8;74.6;56.9;78.4;81.6;65;60;1.7;0.0;12.0;4.2;46.1;Oman;4.3;$198.5 ;2.1;2.4;$46.584;3.1;0.9;4.190.5;50.9
126;Pakistan;Pakistan;Asia-Pacific;135;32;54.8;48.3;43.2;29.7;80.4;86.8;40.4;54.9;41.3;72.5;64.8;55;40;10.1;30.0;30.0;12.5;21.0;Pakistan;201.0;$1.141.4 ;5.2;4.7;$5.680;3.0;3.9;2.352.0;72.1
127;Panama;Panama;Americas;55;9;67.2;58.8;30.0;37.2;85.3;85.7;91.2;70.8;43.3;79.4;79.2;75;70;5.4;25.0;25.0;14.7;21.8;Panama;4.2;$106.8 ;3.9;5.0;$25.675;3.9;0.8;5.548.5;39.4
128;Papua New Guinea;PapuaNewGuinea;Asia-Pacific;108;23;58.4;54.9;48.4;29.7;71.5;86.4;76.4;58.4;69.6;70.7;79.8;25;30;2.6;42.0;30.0;13.7;21.3;Papua New Guinea;8.4;$30.9 ;0.0;5.0;$3.662;2.4;4.7;335.2;36.9
129;Paraguay;Paraguay;Americas;80;15;63.0;44.7;26.4;29.6;96.1;88.6;98.0;60.9;29.0;72.5;75.4;75;60;4.8;10.0;10.0;13.8;19.5;Paraguay;7.1;$94.5 ;3.7;4.2;$13.395;4.7;4.0;453.9;21.6
130;Peru;Peru;Americas;51;8;67.9;54.9;30.6;33.5;80.8;86.4;89.0;67.1;62.9;86.3;88.4;75;60;0.8;30.0;28.0;15.3;21.3;Peru;32.2;$457.5 ;4.0;3.2;$14.224;2.8;1.3;6.175.1;26.8
131;Philippines;Philippines;Asia-Pacific;70;14;64.5;54.6;34.2;38.7;76.7;87.9;96.3;59.5;57.4;66.9;81.6;60;60;1.7;35.0;30.0;14.2;20.1;Philippines;106.6;$952.6 ;6.2;6.4;$8.936;2.5;5.2;6.456.2;39.6
132;Poland;Poland;Europe;46;25;69.1;63.1;42.8;64.6;74.7;48.8;92.2;62.6;62.0;82.0;86.4;80;70;1.8;32.0;19.0;33.9;41.3;Poland;38.0;$1.212.9 ;5.1;4.0;$31.939;3.7;1.6;11.476.2;48.4
133;Portugal;Portugal;Europe;56;29;67.0;75.4;65.6;68.9;59.6;39.8;74.4;76.5;44.1;83.0;86.4;70;60;1.8;48.0;23.0;34.7;44.8;Portugal;10.3;$329.2 ;2.1;1.9;$32.006;6.9;1.2;4.894.8;121.4
134;Qatar;Qatar;Middle East and North Africa;31;3;72.3;66.9;58.7;64.6;99.8;64.6;93.7;71.1;65.9;80.6;81.6;60;60;4.2;0.0;0.0;4.9;34.3;Qatar;2.7;$354.8 ;2.2;2.7;$130.475;0.1;0.2;-2.186.3;48.4
135;Romania;Romania;Europe;38;21;69.7;72.5;56.1;55.1;90.3;70.4;85.6;58.6;63.0;78.1;86.4;70;50;1.8;10.0;16.0;24.7;31.4;Romania;19.5;$516.3 ;4.1;4.6;$26.447;4.3;4.6;5.887.7;36.6
136;Russia;Russia;Europe;94;43;61.0;56.8;44.4;41.3;88.5;63.8;98.7;80.2;52.1;68.2;77.8;30;30;3.6;13.0;20.0;24.2;34.7;Russia;144.0;$4.213.4 ;2.3;0.5;$29.267;4.7;2.9;13.332.4;14.0
137;Rwanda;Rwanda;Sub-Saharan Africa;33;2;70.9;76.5;78.3;57.6;79.2;79.8;86.7;60.3;81.8;79.8;70.4;60;40;7.3;30.0;30.0;16.6;26.0;Rwanda;12.0;$27.4 ;8.6;7.4;$2.280;1.0;1.4;398.5;40.7
138;Saint Lucia;SaintLucia;Americas;50;7;68.2;69.8;62.6;41.8;76.9;80.6;83.8;76.7;66.4;82.0;73.2;65;40;5.9;30.0;30.0;22.5;25.5;Saint Lucia;0.2;$2.5 ;1.0;1.8;$14.355;20.9;1.9;135.1;66.8
139;Saint Vincent and the Grenadines;SaintVincentGrenadines;Americas;59;10;66.8;50.5;62.6;46.1;72.4;73.7;89.0;75.8;73.3;80.8;67.2;70;40;8.9;30.0;33.0;27.8;29.6;Saint Vincent and the Grenadines;0.1;$1.3 ;2.0;0.9;$11.956;19.8;2.4;100.5;73.1
140;Samoa;Samoa;Asia-Pacific;86;18;62.1;60.5;31.7;31.5;79.6;62.5;94.6;76.6;78.8;79.5;64.6;55;30;10.2;27.0;27.0;24.1;35.3;Samoa;0.2;$1.2 ;0.7;2.7;$5.890;8.3;3.7;16.7;50.2
141;São Tomé and Príncipe;SaoTomePrincipe;Sub-Saharan Africa;125;19;56.2;41.0;26.5;37.4;88.3;77.1;73.0;64.8;43.4;68.1;64.2;60;30;10.4;20.0;25.0;12.1;27.6;São Tomé and Príncipe;0.2;$0.7 ;3.0;4.3;$3.324;13.3;7.9;17.5;81.3
142;Saudi Arabia;SaudiArabia;Middle East and North Africa;83;9;62.4;64.6;72.3;49.6;99.8;61.8;19.3;66.6;63.3;81.0;75.4;45;50;4.8;2.5;2.5;3.4;35.7;Saudi Arabia;33.2;$1.857.5 ;2.2;2.2;$55.944;5.9;2.5;3.208.8;19.1
143;Senegal;Senegal;Sub-Saharan Africa;110;13;58.0;52.4;39.8;40.6;70.2;84.4;75.2;50.4;38.1;79.7;65.4;60;40;12.3;40.0;30.0;22.0;22.8;Senegal;16.3;$59.5 ;6.2;6.5;$3.651;6.5;0.5;629.3;64.4
144;Serbia;Serbia;Europe;65;35;66.0;55.4;46.8;44.0;83.7;49.7;94.1;72.6;66.9;80.7;78.0;70;50;6.0;10.0;15.0;36.1;40.9;Serbia;7.0;$122.8 ;4.4;2.0;$17.555;13.5;2.0;4.125.5;54.3
